,INST,DATE,QTREND,TOP_a1,TOP_a2,TOP_a3,FINAL,R1C1,R1C2,R1C3,R1C4,R2C1,R2C2,R2C3,R2C4,R3C2,R3C3,R3C4,R4C1,R4C2,R4C3,R4C4,R5C1,R5C4,R6C4,R7C1,R7C2,R7C3,R7C4,R8C1,R8C2,R8C3,R8C4,R9C1,R9C2,R9C3,R9C4,R10C4,R11C2,R11C3,R11C4,R12C2,R12C3,R12C4,R13C1,R13C2,R13C3,R13C4,R14C1,R14C2,R14C3,R14C4,R15C1,R15C4,R16C2,R16C3,R16C4,R17C1,R17C2,R17C3,TOTQTREXP,R5C3,R5C2,R6C1,R6C2,R6C3,R10C1,R10C2,R10C3,filename,folder
0,Academy of Salon and Spa,10/24/2020,09/30/2020,40877,0,0,Off,1440.00,0,0,,0,0,0,,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,3869.11,0,0,,Additional supplies & equipment to reduce sharing.,0,0,,0,0,,0,0,0,,8408,0,0,Update computers and software to meet on-line learning requirements.,19062,Move offices for additional classroom space.  Add additional classroom space.,0,0,,0,0,0,38873,0,0,0,0,0,6093,0,0,heerfquarterlyreportingv131AcademyofSalonandSpa010741.txt,Academy of Salon and Spa
1,Alaska Christian College,7/07/2021,06/30/2021,640262,523617,83115,Off,0,0,0,,0,0,0,,0,0,,0,0,0,,7598.07,,,2232.32,0,0,,0,0,0,,8802.99,0,0,,,0,0,,0,0,,0,0,0,,3675.09,0,0,,0,,0,0,,85410,0,0,85410.14,0,0,63101.67,0,0,0,0,0,Jun.txt,Alaska Christian College
2,Alaska Pacific University,12/10/2020,12/31/2020,254627,258723,0,On,26991,0,0,"Final $26,991 awarded 1st week of October",0,0,0,,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,,,0,0,,0,0,,0,0,0,,0,0,0,,0,,0,0,,26991,0,0,26991,0,0,0,0,0,0,0,0,APUHEERFQuarterlyReport12.txt,Alaska Pacific University
3,ARIZONA CULINARY INSTITUTE,10/29/2020,9/30/2020,104670,0,0,On,0,0,0,,0,0,0,,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,4884,0,0,,,0,0,,0,0,,0,0,0,,0,0,0,,99785.99,VENTILATION UNITS,0,0,,104670,0,0,104670,0,0,0,0,0,0,0,0,93020heerfquarterlyreportingv131.txt,Arizona Culinary Institute
4,Arkansas State University-Beebe,01/07/2021,12/31/2020,1070882.00,106363.00,0,Off,0,0,0,,0,0,0,,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,11609.57,0,0,,,0,0,,0,0,,102.23,0,0,,67518.44,0,0,,82912.90,34% indirect cost rate.,0,0,,162143.14,0,0,162143.14,0,0,0,0,0,0,0,0,caresactfundreporting4.txt,Arkansas State University  Beebe
5,Arkansas State University - Beebe,7/6/2021,06/30/21,8312770,0294190,0,Off,5748,0,0,HEERF II FUNDS,0,0,0,,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,35.00,0,0,HEERF II,,189059,0,HEERF II (a)(1),0,0,Heerf II,5685,0,0,HEERF I,472610.00,0,0,"HEERF I - $23,499",177800,"I/C Cost HEERF I $25,090, HEERF II $152,710",0,0,,02756185,189059,0,2945244.00,0,0,0,0,0,0,0,0,caresactquarterlyreport63021.txt,Arkansas State University  Beebe
6,"Career Consultants, Inc - 03361400",10/22/2020,09/30/2020,523093.50,0,0,Off,150367.02,0,0,Funds dispersed to students,0,0,0,,0,0,,9767,0,0,Laptops and chromebooks provided to students as needed to enable transition to distance learning.,0,,,0,0,0,,0,0,0,,8577.54,0,0,PPE and incremental cleaning services beyond normal levels due to COVID-19.,,0,0,,0,0,,0,0,0,,30203.17,0,0,"Expansions to the campus wifi infrastructure and additional software, hardware, and related expenses to enable students and faculty to transition to distance learning.",0,,0,0,,198914.73,0,0,198914.73,0,0,0,0,0,0,0,0,HEERF20Quarterly20Report2012020033614002020Career20Consultants20Inc.txt,Career Consultants Inc
7,Central Alabama Community College,10/23/2020,09/30/2020,611026.00,60377.00,0,Off,0,0,0,Awaiting approval to expend funds from Alabama Community College System.,0,0,0,Awaiting approval to expend funds from Alabama Community College System.,0,0,Awaiting approval to expend funds from Alabama Community College System.,0,0,0,Awaiting approval to expend funds from Alabama Community College System.,0,Awaiting approval to expend funds from Alabama Community College System.,Awaiting approval to expend funds from Alabama Community College System.,0,0,0,Awaiting approval to expend funds from Alabama Community College System.,0,0,0,Awaiting approval to expend funds from Alabama Community College System.,0,0,0,Awaiting approval to expend funds from Alabama Community College System.,,0,0,,0,0,,0,0,0,,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,Quarter20Ending2009302020.txt,Central Alabama Community College
8,CENTRAL BAPTIST COLLEGE,10/30/2020,09/30/2020,411493,0,0,Off,0,0,0,,0,0,0,,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,21164,0,0,,,0,0,,0,0,,0,0,0,,10794,0,0,,0,,0,0,,0,0,0,31958,0,0,0,0,0,0,0,0,heerfquarterlyreportingv131INSTITUTIONALGRANTSQTRENDING9302020.txt,Central Baptist College Inc
9,Cochise County Community College District,07/07/2021,06/30/2021,10009942.00,314382,0,Off,37500,0,0,,0,0,0,,0,0,,0,0,0,,4031.72,,,0,0,0,,0,0,0,,250531.470,0,0,,,0,0,,0,0,,0,0,0,,47975.59,0,0,,14908.82,"originally misapplied expenditures, FY20 Audit,ionizers, second bus to allow for social distancing",0,0,,730928.69,0,0,730928.69,0,0,0,0,0,96965.58,0,0,HEERFInstitutionalQuarterlyReportasofJune302021.txt,Cochise County Community College District
